i	j	xijv1
1	3	1
2	5	1
2	16	1
2	254	1
3	1	1
3	11	1
3	25	1
4	5	1
4	12	1
4	32	1
5	2	1
5	4	1
5	8	1
6	11	1
6	17	1
6	19	1
7	15	1
8	5	1
8	27	1
8	34	1
9	15	1
9	289	1
9	290	1
10	15	1
11	3	1
11	6	1
11	22	1
12	4	1
13	21	1
14	22	1
15	7	1
15	9	1
15	10	1
16	2	1
17	6	1
18	19	1
18	20	1
18	21	1
19	6	1
19	18	1
19	22	1
20	18	1
21	13	1
21	18	1
21	290	1
22	11	1
22	14	1
22	19	1
23	26	1
23	29	1
23	33	1
24	31	1
25	3	1
25	28	1
25	30	1
26	23	1
26	178	1
27	8	1
28	25	1
28	32	1
28	34	1
29	23	1
30	25	1
31	24	1
31	48	1
31	274	1
32	4	1
32	28	1
32	35	1
33	23	1
33	33	1
34	8	1
34	28	1
34	274	1
35	32	1
36	45	1
36	54	1
36	66	1
37	50	1
38	51	1
38	61	1
38	67	1
39	54	1
39	57	1
39	64	1
40	46	1
40	54	1
40	61	1
41	55	1
42	52	1
42	60	1
42	68	1
43	61	1
44	55	1
45	36	1
45	74	1
45	87	1
46	40	1
46	49	1
46	56	1
47	48	1
47	49	1
47	59	1
48	31	1
48	47	1
48	283	1
49	46	1
49	47	1
49	50	1
50	37	1
50	49	1
50	62	1
51	38	1
51	63	1
51	68	1
52	42	1
53	68	1
54	36	1
54	39	1
54	40	1
55	41	1
55	44	1
55	60	1
56	46	1
57	39	1
57	70	1
57	76	1
58	62	1
59	47	1
60	42	1
60	55	1
60	269	1
61	38	1
61	40	1
61	43	1
62	50	1
62	58	1
62	64	1
63	51	1
64	39	1
64	62	1
64	271	1
65	283	1
66	36	1
67	38	1
68	42	1
68	51	1
68	53	1
69	70	1
70	57	1
70	69	1
70	73	1
70	116	1
71	75	1
72	73	1
72	75	1
73	70	1
73	72	1
74	45	1
74	116	1
75	71	1
75	72	1
75	243	1
76	57	1
77	90	1
78	92	1
78	104	1
79	81	1
79	96	1
80	86	1
80	90	1
80	96	1
81	79	1
81	84	1
82	90	1
82	93	1
82	94	1
83	85	1
83	93	1
83	97	1
84	81	1
85	83	1
85	87	1
85	88	1
86	80	1
86	92	1
86	235	1
87	45	1
87	85	1
87	97	1
88	85	1
89	96	1
90	77	1
90	80	1
90	82	1
91	93	1
91	94	1
91	97	1
92	78	1
92	86	1
92	109	1
93	82	1
93	83	1
93	91	1
94	82	1
94	91	1
94	95	1
95	94	1
96	79	1
96	80	1
96	89	1
97	83	1
97	87	1
97	91	1
98	102	1
98	105	1
98	107	1
99	101	1
99	103	1
100	104	1
100	110	1
100	111	1
101	99	1
101	110	1
102	98	1
103	99	1
103	105	1
103	109	1
104	78	1
104	100	1
104	111	1
104	222	1
105	98	1
105	103	1
105	108	1
106	108	1
107	98	1
107	110	1
107	119	1
108	105	1
108	106	1
108	109	1
109	92	1
109	103	1
109	108	1
110	100	1
110	101	1
110	107	1
111	100	1
111	104	1
111	112	1
112	111	1
112	150	1
112	153	1
113	115	1
113	117	1
113	121	1
114	123	1
115	113	1
115	116	1
115	123	1
116	70	1
116	74	1
116	115	1
117	113	1
117	119	1
117	122	1
118	126	1
118	265	1
119	107	1
119	117	1
119	122	1
120	123	1
121	113	1
122	117	1
122	119	1
122	265	1
123	114	1
123	115	1
123	120	1
124	143	1
125	134	1
126	118	1
126	131	1
126	138	1
126	270	1
127	129	1
127	136	1
127	140	1
127	245	1
128	267	1
128	275	1
129	127	1
130	132	1
130	135	1
130	142	1
131	118	1
131	126	1
131	137	1
132	130	1
132	134	1
132	136	1
133	135	1
133	138	1
133	142	1
134	125	1
134	132	1
134	143	1
135	130	1
135	133	1
135	139	1
136	127	1
136	132	1
136	144	1
137	131	1
137	152	1
137	153	1
138	126	1
138	131	1
139	135	1
140	127	1
141	142	1
141	275	1
142	130	1
142	133	1
142	141	1
143	124	1
143	134	1
143	266	1
144	136	1
145	150	1
145	154	1
146	151	1
146	155	1
147	149	1
147	150	1
147	250	1
148	149	1
149	147	1
149	148	1
149	152	1
149	153	1
150	112	1
150	145	1
150	147	1
151	146	1
152	137	1
152	149	1
152	155	1
153	112	1
153	137	1
